Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,5-Mar-19,1995.4,2005,2007,1976.6,1985.05,1988.1,1987.11,2449622,4867670462,151723,1394714,56.94
TCS,EQ,6-Mar-19,1988.1,1989.3,2015,1985.05,2005,1999.6,2001.3,2635047,5273530564,179625,1257394,47.72
TCS,EQ,7-Mar-19,1999.6,2005,2024.05,2000.2,2015,2013.3,2014.4,2539884,5116330320,126121,1392383,54.82
TCS,EQ,8-Mar-19,2013.3,2025,2033,2010.05,2022.75,2022.7,2023.03,2031071,4108921516,116872,971744,47.84
TCS,EQ,11-Mar-19,2022.7,2028.9,2033,2003.65,2016.15,2014.8,2017.1,3111689,6276593842,104833,2195339,70.55
TCS,EQ,12-Mar-19,2014.8,2014.05,2024.8,2003,2009.1,2012.45,2015.6,2658550,5358583633,132223,1716971,64.58
TCS,EQ,13-Mar-19,2012.45,2013,2015.9,1978.6,1995,2000.5,2001.12,1833163,3668374640,112785,821473,44.81
TCS,EQ,14-Mar-19,2000.5,2004.95,2007.8,1981,1990.4,1987.4,1991.28,1905495,3794368664,124863,1000627,52.51
TCS,EQ,15-Mar-19,1987.4,1998.9,2068.95,1991,2036,2039.95,2040.01,5184318,10576085296,164284,2256287,43.52
TCS,EQ,18-Mar-19,2039.95,2043,2064.6,2011,2023.85,2022.8,2033.02,2349915,4777435477,116385,867727,36.93
TCS,EQ,19-Mar-19,2022.8,2030,2030,1995.1,2028.5,2022.8,2010.71,2373993,4773416985,135360,1176359,49.55
TCS,EQ,20-Mar-19,2022.8,2028,2044.8,2000,2000.25,2015.05,2025.82,3091165,6262136193,161415,1678488,54.3
TCS,BL,22-Mar-19,1925.65,2015.05,2015.05,2015.05,2015.05,2015.05,2015.05,264913,533812940.7,1,264913,100
TCS,EQ,22-Mar-19,2015.05,2015,2016,1983.3,2010,2005.65,1998.96,3148149,6293031837,155770,1787595,56.78
TCS,EQ,25-Mar-19,2005.65,2007.8,2007.8,1977.2,1980.8,1984.25,1987.88,2429205,4828960486,94852,1430988,58.91
TCS,EQ,26-Mar-19,1984.25,1984,1994.95,1958.05,1977.4,1982.65,1971.46,2316539,4566962638,114153,893480,38.57
TCS,EQ,27-Mar-19,1982.65,1994,1998,1961,1964.85,1967.9,1979.12,2266166,4485003551,110306,1163070,51.32
TCS,EQ,28-Mar-19,1967.9,1980,2014.6,1972.8,2004.45,2000.3,1993.96,4054489,8084506923,144600,2150827,53.05
TCS,EQ,29-Mar-19,2000.3,2019,2024.9,1983.55,2000,2001.65,2001.7,2948955,5902926701,134193,1191681,40.41
TCS,EQ,1-Apr-19,2001.65,2010,2039.95,2008.25,2034.95,2031.65,2027.91,2095740,4249964902,109983,748739,35.73
TCS,EQ,2-Apr-19,2031.65,2037.1,2086,2037,2079,2079.3,2064.13,3719663,7677855817,124157,1757245,47.24
TCS,EQ,3-Apr-19,2079.3,2085,2089.6,2058.1,2078.15,2079.3,2073.86,2939886,6096919299,119988,1164726,39.62
TCS,EQ,4-Apr-19,2079.3,2078.15,2079.7,2007.4,2017,2014.5,2039.77,4397518,8969909269,145227,2310866,52.55
TCS,EQ,5-Apr-19,2014.5,2028.65,2054.4,2018.8,2051,2048.3,2037.19,3152103,6421435440,96704,1536645,48.75
TCS,EQ,8-Apr-19,2048.3,2059,2075,2032.7,2073.6,2070.75,2056.64,2194294,4512880261,130397,788699,35.94
TCS,EQ,9-Apr-19,2070.75,2070,2098,2057.65,2087.45,2091.5,2085.63,2690970,5612369594,122603,1036682,38.52
TCS,EQ,10-Apr-19,2091.5,2083,2085.5,2036,2043.65,2040.25,2053.91,3313062,6804718227,168190,1821699,54.99
TCS,EQ,11-Apr-19,2040.25,2045,2055,2013.65,2025,2019.5,2028.47,3422442,6942308979,133153,1568180,45.82
TCS,EQ,12-Apr-19,2019.5,2038,2039,2007,2013.05,2014.5,2019.97,3198471,6460808052,126989,1040440,32.53
TCS,EQ,15-Apr-19,2014.5,2070,2119.8,2041,2113,2113.3,2086.02,9189201,19168862828,282918,3402175,37.02
TCS,EQ,16-Apr-19,2113.3,2120,2155.95,2115.55,2137,2131.8,2137.54,5771952,12337757820,222230,2514452,43.56
TCS,EQ,18-Apr-19,2131.8,2149.9,2155,2114.2,2149.25,2150.05,2138.81,3413728,7301311596,159168,1564757,45.84
TCS,EQ,22-Apr-19,2150.05,2148,2176,2145.6,2160.3,2161.45,2165.74,2007135,4346926221,79881,717594,35.75
TCS,EQ,23-Apr-19,2161.45,2163,2165.5,2134.05,2163,2155.05,2147.21,2163524,4645533582,88782,970246,44.85
TCS,EQ,24-Apr-19,2155.05,2158,2195,2156.1,2168.6,2183.45,2172.32,3003071,6523621910,128669,1718919,57.24
TCS,EQ,25-Apr-19,2183.45,2175,2205,2168.05,2203,2195,2189.55,4211526,9221344246,108403,2971130,70.55
TCS,EQ,26-Apr-19,2195,2203,2243.95,2193.15,2231.1,2238.55,2225.36,2716958,6046198156,110079,1175323,43.26
TCS,EQ,30-Apr-19,2238.55,2238.55,2266.95,2230.1,2256.25,2260.35,2252.48,3488395,7857544876,135194,2026970,58.11
TCS,EQ,2-May-19,2260.35,2255,2259.4,2211.1,2214.7,2215.4,2227.88,2457699,5475449035,106215,1064368,43.31
TCS,EQ,3-May-19,2215.4,2185,2186.05,2125,2137,2132,2153,3780886,8140257404,188561,1641641,43.42
TCS,EQ,6-May-19,2132,2110,2165,2108.5,2155.2,2157.85,2150.11,2891422,6216881349,109314,1224571,42.35
TCS,EQ,7-May-19,2157.85,2160.05,2184.35,2138.8,2154,2151.95,2163.53,2201698,4763441090,86096,975603,44.31
TCS,EQ,8-May-19,2151.95,2151,2168,2130.4,2156,2152.85,2151.85,1824895,3926902425,77713,781526,42.83
TCS,EQ,9-May-19,2152.85,2145,2184.1,2136.1,2171.2,2172.55,2166.98,2264162,4906404979,106297,1251459,55.27
TCS,EQ,10-May-19,2172.55,2175,2192,2125.85,2130.25,2135.8,2161.83,2039633,4409349006,85446,873181,42.81
TCS,EQ,13-May-19,2135.8,2133,2167,2121.65,2134,2128.75,2143.87,1701744,3648325263,74014,677242,39.8
TCS,EQ,14-May-19,2128.75,2135,2159.8,2072.35,2095.8,2092.35,2101.14,2456110,5160632656,118567,926566,37.72
TCS,EQ,15-May-19,2092.35,2097,2124,2084.5,2095,2095.4,2103.66,2346876,4937022682,119315,1108059,47.21
TCS,EQ,16-May-19,2095.4,2096,2124,2077.05,2111.5,2108.75,2107.55,1946529,4102397614,118994,916519,47.08
TCS,EQ,17-May-19,2108.75,2112.6,2135,2090,2094,2095.45,2107.34,1947908,4104894879,85798,891442,45.76
TCS,EQ,20-May-19,2095.45,2125,2151.4,2050,2148,2143.95,2119.5,2625116,5563937036,112038,1154403,43.98
TCS,EQ,21-May-19,2143.95,2148.05,2148.7,2102.55,2106.2,2109.75,2122.37,1863157,3954316659,100432,1042172,55.94
TCS,EQ,22-May-19,2109.75,2110,2121.95,2075,2090,2081.75,2091.31,2595795,5428609876,154844,1410070,54.32
TCS,EQ,23-May-19,2081.75,2098,2115.35,2050,2057,2054.05,2071.74,2541294,5264898714,122224,1169296,46.01
TCS,EQ,24-May-19,2054.05,2070,2070,2032.25,2050,2048,2051.14,2274208,4664725693,114179,1255954,55.23
TCS,EQ,27-May-19,2048,2054.8,2068.95,2040.1,2058,2055.15,2054.87,2329820,4787473258,85924,1377094,59.11
TCS,EQ,28-May-19,2055.15,2060,2097.5,2045,2068,2073.75,2076.46,5872979,12194983827,205972,4034671,68.7
TCS,EQ,29-May-19,2073.75,2080,2123.7,2077.1,2114.2,2107.55,2109.46,3281320,6921811131,177202,1508313,45.97
TCS,EQ,30-May-19,2107.55,2123,2156.55,2114.4,2146.3,2146.3,2142.62,4971725,10652535238,150672,2210404,44.46
